date,operation_type,store_code,department,quantity
4/30/2021,SALE,400000032078,Dep2,1
4/30/2021,SALE,400000036656,Dep2,1
4/30/2021,SALE,400000038094,Dep5,2
4/29/2021,SALE,400000028583,Dep12,1
4/29/2021,SALE,400000035659,Dep2,1
4/29/2021,SALE,400000035147,Dep2,1
4/29/2021,SALE,400000016467,Dep12,1
4/29/2021,SALE,400000038797,Dep10,1
4/29/2021,SALE,400000034911,Dep2,1
4/29/2021,SALE,400000037486,Dep2,1
4/29/2021,SALE,400000033372,Dep2,1
4/29/2021,SALE,400000033273,Dep15,1
4/29/2021,SALE,400000033266,Dep15,1
4/29/2021,SALE,400000023489,Dep10,1
4/29/2021,SALE,400000026848,Dep1,1
4/29/2021,SALE,400000031392,Dep10,7
4/29/2021,SALE,400000038643,Dep10,1
4/29/2021,SALE,400000034935,Dep2,1
4/29/2021,SALE,400000034195,Dep2,1
4/29/2021,SALE,400000035161,Dep2,1
4/29/2021,SALE,400000037332,Dep2,1
4/29/2021,SALE,400000018713,Dep1,1
4/29/2021,SALE,400000029979,Dep2,1
4/29/2021,SALE,400000014128,Dep1,1
4/29/2021,SALE,400000002156,Dep1,3
4/29/2021,SALE,400000011134,Dep13,1
4/29/2021,SALE,400000035840,Dep4,1
4/29/2021,SALE,400000035635,Dep1,1
4/29/2021,SALE,400000029955,Dep2,1
4/29/2021,SALE,400000032856,Dep2,1
4/29/2021,SALE,400000032863,Dep2,1
4/29/2021,SALE,400000035512,Dep2,1
4/29/2021,SALE,400000031774,Dep2,1
4/29/2021,SALE,400000035888,Dep5,1
4/29/2021,SALE,400000036281,Dep2,1
4/29/2021,SALE,400000037769,Dep1,1
4/29/2021,SALE,400000027456,Dep1,1
4/29/2021,SALE,400000005003,Dep1,1
4/29/2021,SALE,400000031842,Dep2,1
4/29/2021,SALE,400000033648,Dep2,2
4/29/2021,SALE,400000036069,Dep2,1
4/29/2021,SALE,400000029597,Dep2,1
4/29/2021,SALE,400000036809,Dep16,1
4/29/2021,SALE,400000038131,Dep2,1
4/29/2021,SALE,400000035116,Dep2,1
4/29/2021,SALE,400000015651,Dep1,1
4/29/2021,SALE,400000037875,Dep3,1
4/29/2021,SALE,400000034843,Dep3,1
4/29/2021,SALE,400000030869,Dep2,2
4/29/2021,SALE,400000008905,Dep5,1
4/29/2021,SALE,400000002316,Dep1,2
4/29/2021,SALE,400000038797,Dep10,1
4/29/2021,SALE,400000036281,Dep2,1
4/29/2021,SALE,400000030074,Dep2,1
4/29/2021,SALE,400000034140,Dep2,1
4/29/2021,SALE,400000038940,Dep2,1
4/29/2021,SALE,400000008905,Dep5,1
4/29/2021,SALE,400000001074,Dep12,5
4/29/2021,SALE,400000032856,Dep2,1
4/29/2021,SALE,400000026022,Dep1,2
4/29/2021,SALE,400000033563,Dep9,1
4/29/2021,SALE,400000020532,Dep1,1
4/29/2021,SALE,400000035406,Dep10,1
4/29/2021,SALE,400000001463,Dep1,1
4/29/2021,SALE,400000038643,Dep10,1
4/29/2021,SALE,400000031781,Dep2,1
4/29/2021,SALE,400000036229,Dep10,1
4/29/2021,SALE,400000038797,Dep10,1
4/29/2021,SALE,400000035987,Dep10,1
4/29/2021,SALE,400000038360,Dep1,4
4/29/2021,SALE,400000004389,Dep1,1
4/29/2021,SALE,400000030326,Dep5,2
4/29/2021,SALE,400000012018,Dep5,1
4/29/2021,SALE,400000030371,Dep17,1
4/29/2021,SALE,400000034898,Dep2,1
4/29/2021,SALE,400000032948,Dep9,1
4/29/2021,SALE,400000033037,Dep2,1
4/29/2021,SALE,400000029955,Dep2,1
4/29/2021,SALE,400000031842,Dep2,1
4/29/2021,SALE,400000033648,Dep2,1
